title,company,location,city,state,zip_code,date_posted,salary,description,url,apply_url,scraped_at,source_site,job_board_type,setting_type,job_type
RN Nursing Supervisor,Complete Care at Harrington Court LL,"Colchester, CT 6415",Colchester,CT,6415,,,"RN Nursing Supervisor 

Full Time 3p-11p 

Monday-Friday
On Call Rotation
Travel/Contract RN's Considered

Reciprocity Assistance Available






16 Hour 11p-7a Shift

Tuesday and Wednesday one week, Wednesday and Thursday the next week
No Weekend Requirement




Part Time 7a-3pm 

Every Other Saturday/Sunday
No On Call




RN Supervisor Experience Required
Long Term Care Experience Required

Complete Care at Harrington Court is located at 59 Harrington Court in Colchester, CT.  We approach every day with one goal: To improve the lives we touch through high-quality healthcare and extraordinary compassion. Now Hiring: RN Nursing Supervisor Registered Nurse
Why work for us?

You will have the opportunity to build a career with an established, highly successful organization in a caring and compassionate environment and utilize all your nursing skills daily.
You will develop deep personal relationships with patients and their families.
We are committed to your growth and success- that is why we offer an excellent orientation, training, and development programs.
Receive a competitive salary and benefits package.

Now Hiring: RN Nursing Supervisor Registered Nurse
Responsibilities:

Directly supervise the nursing staff on assigned shift by monitoring the distribution of medications, blood draws, and other elements of patient care.
Conduct nursing rounds on all unit multiple times throughout the shift.
Provide education, as needed, for staff, residents and resident family members.
Ensure staff perform all duties in accordance with local, state, and federal guidelines.
Other duties as assigned by Assistant Director of Nursing, Director of Nursing or Administrator.

Qualifications:

Prior experience managing staff is preferred.
Ability to work independently or part of a group.
Understanding of complex clinical conditions
Familiarity with electronic medical records
Computer knowledge.
CPR certified
Excellent communication and decision-making skills
Previous long-term care clinical supervisory experience is required
IV Mastery Certification preferred not required

License:

Must have an Active RN Registered Nurse license for the state of Connecticut

Now Hiring: RN Nursing Supervisor Registered Nurse
Complete Care at Harrington Court is an equal opportunity employer.
#LI-GM1
#CC2024
71025
 
 ",https://jobs.apploi.com/view/1560243?utm_campaign=jobs_snippet&utm_source=completecareharringtoncourt-career-page&utm_medium=client-web-site&utm_term=apploi-snippet&_=1753196481.1174297,,2025-07-22T15:01:44.667900,Complete Care at Harrington Court LL,apploi,snf,
Dietary Aide,Complete Care at Meriden Center LLC,"Meriden, CT 6450",Meriden,CT,6450,,,"Dietary Aide
·       Casual/Per Diem Available
 
·       Monthly Weekend Requirement
 
·       Opportunities for advancement
Complete Care at Meriden is a pillar in the community of Meriden, CT.  We approach every day with one goal: To improve the lives we touch through high-quality healthcare and extraordinary compassion. Now Hiring: Dietary Aide.
Why work for us?

You will have the opportunity to build a career with an established, highly successful organization in a caring and compassionate environment.
We are committed to your growth and success.
Come join employees who have become family!
Work today, get paid today!  

Now Hiring: Dietary Aide
Shifts Available: 4pm-7pm
Dietary Aide Qualifications:
·       High School Diploma or equivalent.
·       Experience as a dietary aide in a nursing home or rehabilitation facility
·       Positive, creative, energetic individual
·       Ability to work independently or part of a group
Dietary Aide Responsibilities:
·       Assists the dietary manager and department with necessary tasks to ensure residents’ dietary needs are met
·       Prepare meals under the supervision of a cook and/or Food Service Director
·       Deliver food trucks to units at designated times
·       Discard leftovers and take out garbage
·       Clean food stations and wash dishes, cooking vessels and silverware
·       Stock ingredients and monitor inventory
·       Adheres to the facilities policies and procedures regarding the Compliance Program
·       Follow all local, state and federal regulations as they pertain to the position
Complete Care at Meriden is an equal opportunity employer.
 
31725
 
 ",https://jobs.apploi.com/view/1479683?utm_campaign=jobs_snippet&utm_source=completecaremeriden-career-page&utm_medium=client-web-site&utm_term=apploi-snippet&_=1753196526.8475447,,2025-07-22T15:02:30.702590,Complete Care at Meriden Center LLC,apploi,snf,
Business Office Manager,Kimberly Hall North,"Windsor, CT 6095",Windsor,CT,6095,,,"Business Office Manager

Full Time
Day Shift
Long Term Care Business Office Experience REQUIRED
Some Weekend Manager Requirements 

Complete Care at Kimberly Hall North is a pillar in the community of Windsor, CT.  We approach every day with one goal: To improve the lives we touch through high-quality healthcare and extraordinary compassion. Now Hiring: Business Office Manager.
Why work for us?

You will have the opportunity to build a career with an established, highly successful organization in a caring and compassionate environment.
We are committed to your growth and success.
Come join employees who have become family!

Now Hiring: Full-time Business Office Manager
Responsibilities:

Assume administrative authority, responsibility, and accountability for supervising and directing the business office.
Work with the Nursing Department and the Admissions Director to ensure correct census data is collected and maintained.
Organize and maintain all records necessary to bill Medicare, Medicaid, and private insurance.
Develop and implement auditing schedules for account receivables.
Other duties as assigned by Administrator.

Qualifications:

High School Diploma or equivalent.
Ability to work independently or part of a group.
Computer knowledge – Microsoft applications (Word, Excel, etc.) 
Knowledge of CT T-19 application/pending, and collection process.
Experience with and knowledge of AR collections, Medicaid pendings, Resident Trust.
Minimum 1-year long term care experience required.

Now Hiring: Business Office Manager
Complete Care at Kimberly Hall North is an equal opportunity employer.
 
#LI-GM1
7125
 
 ",https://jobs.apploi.com/view/1555488?utm_campaign=jobs_snippet&utm_source=complete-care-kimberly-career-page&utm_medium=client-web-site&utm_term=apploi-snippet&_=1753196573.5483923,,2025-07-22T15:03:17.389907,Kimberly Hall North,apploi,snf,
RN Registered Nurse,Kimberly Hall South Center,"Windsor, CT 6095",Windsor,CT,6095,,,"RN Registered Nurse

Per Diem/Casual Options
Opportunities for Growth

Complete Care at Kimberly Hall South is located at 1 Emerson Drive in Windsor, CT.  We approach every day with one goal: To improve the lives we touch through high-quality healthcare and extraordinary compassion. Now Hiring: Registered Nurse RN
Why work for us?

You will have the opportunity to build a career with an established, highly successful organization in a caring and compassionate environment and utilize all your nursing skills daily.
You will develop deep personal relationships with patients and their families.
We are committed to your growth and success- that is why we offer an excellent orientation, training, and development programs.
Receive a competitive salary and benefits package.

Now Hiring: RN Registered Nurse
Responsibilities:

Administer medication to residents in accordance with their care plan.
Perform treatments, as assigned per physician’s orders, within scope of practice.
Accurately report and record the resident’s condition and care including signs and symptoms which may be indicative of change.
Perform all duties in accordance with local, state, and federal guidelines.
Other duties as assigned by the Unit Manager, Director of Nursing and Administrator.

Qualifications:

Ability to work independently or part of a group.
Computer knowledge.
Previous long-term care experience is preferred but not required.

License:

Must have an active RN Registered Nurse license within the state of Connecticut

Now Hiring: RN Registered Nurse
Complete Care at Kimberly Hall South is an equal opportunity employer.
 #CC2024
#LI-GM1
71025
 ",https://jobs.apploi.com/view/1560333?utm_campaign=jobs_snippet&utm_source=complete-care-hall-south-career-page&utm_medium=client-web-site&utm_term=apploi-snippet&_=1753196615.6710668,,2025-07-22T15:03:59.174898,Kimberly Hall South Center,apploi,snf,
"There are many healthcare groups, but here you'll find family.",Autumn Lake,,,CT,,,,,,,2025-07-22T15:11:27.043493,Autumn Lake,apploi,snf,
Healthcare Hiring Event,Autumn Lake,,,CT,,,,,,,2025-07-22T15:11:28.194583,Autumn Lake,apploi,snf,
"Hiring- RN, LPN, CNA, Cook, Dietary Aides",Autumn Lake,,,CT,,,,,,,2025-07-22T15:11:28.977097,Autumn Lake,apploi,snf,
Infection Control Nurse,Autumn Lake,,,CT,,,,,,,2025-07-22T15:11:29.825768,Autumn Lake,apploi,snf,
Weekend Nurse Supervisor,Autumn Lake,,,CT,,,,,,,2025-07-22T15:11:30.666592,Autumn Lake,apploi,snf,
RN Charge Nurse,Autumn Lake,,,CT,,,,,,,2025-07-22T15:11:31.451990,Autumn Lake,apploi,snf,
